SYSTEME_CHAUD;DV;DV2;maintenance;;
Autre système centralisé;25;20;0.02;;
Cassette rayonnante;10;20;0;;
Chaudière fioul;20;20;0.02;;
Chaudière gaz;20;20;0.035;;
DRV;17;20;0.015;;
Electrique direct;13;20;0;;
nr;20;20;0.02;;
PAC;20;20;0.015;;
Rooftop;17;20;0.015;;
Tube radiant;25;20;0;;
Autre système centralisé performant;25;20;0.02;;
Chaudière condensation fioul;20;20;0.02;;
Chaudière condensation gaz;20;20;0.035;;
DRV performant;17;20;0.015;;
Electrique direct performant;13;20;0;;
PAC performant;20;20;0.015;;
Rooftop performant;17;20;0.015;;
Cassette rayonnante performant;10;20;0;;
Tube radiant performant;25;20;0;;
