"ENERGIE";"SYSTEME_CHAUD";"SurfaceMm2";"PM_SYSTEME_CHAUD"
"Gaz";NA;387.655385636432;0.432978412110647
"Gaz";"nr";10.4926357508016;0.0117193903001731
"Gaz";"Tube radiant";8.317087612044;0.00928948628363776
"Fioul";NA;183.697400969016;0.205174523371674
"Fioul";"nr";6.3146763031447;0.0070529615220993
"Urbain";NA;52.242762416159;0.0583507650179708
"Urbain";"nr";1.1025466711307;0.00123145176007374
"Autres";NA;29.363257835162;0.0327962856261918
"Autres";"nr";1.0283839658125;0.00114861826523196
NA;"Cassette rayonnante";4.460973103326;0.00498253119217047
NA;"DRV";5.8630106844765;0.00654848907151057
NA;"Electrique direct";112.906964068434;0.126107568293745
NA;"nr";6.1297419074115;0.00684640537977267
NA;"PAC";60.5985962607639;0.0676835275796408
NA;"Rooftop";25.1492413956788;0.0280895842254616
