BRANCHE;GESTE;CHARGE_INIT;COUT_MOY;GAIN_MOY;PART_MARCHE;DUREE_VIE
Bureaux Administration;ENSBBC;35.96497416;114.8694216;0.522983746;0.02;50
Bureaux Administration;ENSMOD;35.96497416;32.19922245;0.290263253;0.1;50
Bureaux Administration;FEN_MURBBC;35.96497416;107.5740814;0.311380834;0.1;20
Bureaux Administration;FEN_MURMOD;35.96497416;28.31535949;0.145544081;0.1;20
Bureaux Administration;FENBBC;35.96497416;69.89811548;0.201913628;0.15;20
Bureaux Administration;FENMOD;35.96497416;20.6349206;0.098231256;0.15;20
Café Hôtel Restaurant;ENSBBC;95.43008934;160.0496617;0.451788413;0.01;50
Café Hôtel Restaurant;ENSMOD;95.43008934;156.8809059;0.202865909;0.01;50
Café Hôtel Restaurant;FEN_MURBBC;95.43008934;142.8879965;0.165435489;0.05;20
Café Hôtel Restaurant;FEN_MURMOD;95.43008934;140.7881906;0.07471491;0.05;20
Café Hôtel Restaurant;FENBBC;95.43008934;120.2957496;0.100115406;0.2;20
Café Hôtel Restaurant;FENMOD;95.43008934;140.2732237;0.045532558;0.2;20
Commerce;ENSBBC;44.53503764;135.8086834;0.490022612;0.0001;50
Commerce;ENSMOD;44.53503764;166.4063287;0.433968672;0.01;50
Commerce;FEN_MURBBC;44.53503764;94.39046651;0.116931181;0.01;20
Commerce;FEN_MURMOD;44.53503764;115.1240226;0.108492168;0.01;20
Commerce;FENBBC;44.53503764;84.2415061;0.056126967;0.01;20
Commerce;FENMOD;44.53503764;112.2771703;0.052076241;0.01;20
Enseignement Recherche;ENSBBC;11.23445622;101.6881443;0.564157556;0.0001;50
Enseignement Recherche;ENSMOD;11.23445622;132.4789599;0.578221406;0.01;50
Enseignement Recherche;FEN_MURBBC;11.23445622;64.16415992;0.125138711;0.01;20
Enseignement Recherche;FEN_MURMOD;11.23445622;108.3032563;0.13588203;0.01;20
Enseignement Recherche;FENBBC;11.23445622;41.67552702;0.089384793;0.01;20
Enseignement Recherche;FENMOD;11.23445622;75.8977015;0.097058593;0.01;20
Habitat Communautaire;ENSBBC;23.54770717;66.41269501;0.464417272;0.000115611;50
Habitat Communautaire;ENSMOD;23.54770717;30.12050642;0.183742675;0.1;50
Habitat Communautaire;FEN_MURBBC;23.54770717;59.43065017;0.158425607;0.1;20
Habitat Communautaire;FEN_MURMOD;23.54770717;27.86724375;0.064373525;0.15;20
Habitat Communautaire;FENBBC;23.54770717;41.90810463;0.097647278;0.2;20
Habitat Communautaire;FENMOD;23.54770717;17.90076533;0.040161971;0.2;20
Santé Action Sociale;ENSBBC;28.70056069;42.84185754;0.497794788;0.01;50
Santé Action Sociale;ENSMOD;28.70056069;63.96228205;0.437623335;0.1;50
Santé Action Sociale;FEN_MURBBC;28.70056069;33.87307216;0.215480733;0.1;20
Santé Action Sociale;FEN_MURMOD;28.70056069;55.1417977;0.178904647;0.1;20
Santé Action Sociale;FENBBC;28.70056069;23.17594869;0.134970334;0.12;20
Santé Action Sociale;FENMOD;28.70056069;40.55106448;0.109061144;0.13;20
Sport Loisir Culture;ENSBBC;42.36451541;116.6428034;0.511741684;0.01;50
Sport Loisir Culture;ENSMOD;42.36451541;93.77676012;0.371909778;0.1;50
Sport Loisir Culture;FEN_MURBBC;42.36451541;83.46171385;0.121360224;0.15;20
Sport Loisir Culture;FEN_MURMOD;42.36451541;71.28857864;0.091565885;0.15;20
Sport Loisir Culture;FENBBC;42.36451541;36.69814803;0.065515659;0.2;20
Sport Loisir Culture;FENMOD;42.36451541;35.13962803;0.050614369;0.2;20
Transport;ENSBBC;20.24964705;116.6428034;0.511741684;0.0001;50
Transport;ENSMOD;20.24964705;93.77676012;0.371909778;0.1;50
Transport;FEN_MURBBC;20.24964705;83.46171385;0.121360224;0.1;20
Transport;FEN_MURMOD;20.24964705;71.28857864;0.091565885;0.1;20
Transport;FENBBC;20.24964705;36.69814803;0.065515659;0.15;20
Transport;FENMOD;20.24964705;35.13962803;0.050614369;0.15;20
Bureaux Administration;GTB;35.96497416;20;0.15;0.1;10
Café Hôtel Restaurant;GTB;95.43008934;20;0.15;0.2;10
Commerce;GTB;44.53503764;20;0.15;0.5;10
Enseignement Recherche;GTB;11.23445622;20;0.15;0.005;10
Habitat Communautaire;GTB;23.54770717;20;0.15;0.05;10
Santé Action Sociale;GTB;28.70056069;20;0.15;0.05;10
Sport Loisir Culture;GTB;42.36451541;20;0.15;0.05;10
Transport;GTB;20.24964705;20;0.15;0.1;10
Bureaux Administration;Etat initial;35.96497416;0;0;0.28;1
Café Hôtel Restaurant;Etat initial;95.43008934;0;0;0.28;1
Commerce;Etat initial;44.53503764;0;0;0.4499;1
Enseignement Recherche;Etat initial;11.23445622;0;0;0.9449;1
Habitat Communautaire;Etat initial;23.54770717;0;0;0.199884389;1
Santé Action Sociale;Etat initial;28.70056069;0;0;0.39;1
Sport Loisir Culture;Etat initial;42.36451541;0;0;0.14;1
Transport;Etat initial;20.24964705;0;0;0.2999;1
