BRANCHE;BAT_TYPE;CATEGORIE_ETIQUETTE
03;73;3
01;84;1
01;83;1
03;09;3
04;02;1
04;08;1
04;94;1
02;54;2
02;56;2
02;62;3
02;71;2
05;52;2
07;61;3
01;85;1
04;05;1
04;86;1
04;10;1
05;90;3
02;38;2
07;82;3
07;33;3
07;60;3
01;42;1
03;66;3
03;17;3
03;19;3
04;04;1
04;88;1
04;47;2
06;07;2
02;79;3
02;31;3
02;57;2
02;58;2
02;24;2
07;16;3
07;80;3
01;44;1
03;64;3
03;96;3
04;48;2
04;03;1
04;46;2
05;13;2
06;14;3
02;16;3
02;69;2
02;23;2
02;53;2
02;67;2
07;32;3
02;37;2
02;40;2
02;39;2
03;63;3
03;76;3
03;26;3
03;93;3
03;41;3
04;11;1
02;30;3
06;36;2
02;22;2
07;43;1
07;91;3
07;65;3
03;92;3
03;12;3
03;15;3
04;06;1
02;78;3
02;55;2
02;70;2
07;81;3
07;59;3
07;18;3
03;75;3
03;74;3
03;28;3
04;50;1
08;60;3
06;01;3
06;35;2
02;77;3
02;21;2
02;25;2
02;72;2
01;45;1
03;27;3
04;87;1
04;49;1
02;29;3
02;20;2
05;89;2
02;68;2
06;34;2
05;51;2
07;95;3
